German,English
der Prinz,the prince
die Prinzessin,the princess
die Eltern,the parents
attraktiv,attractive
elegant,elegant
gutaussehend,good-looking
hässlich,ugly
typisch,typical
heiraten,to marry
der Vogel,the bird
der Elefant,the elephant
das Schwein,the pig
die Kuh,the cow
das Pferd,the horse
der Hund,the dog
die Katze,the cat
die Maus,the mouse
das Kamel,the camel
der Kinderspielplatz,the playground
die Kinderportion,the children's portion
die Grundschule,the elementary school
die Schule,the school
die Spielsachen,the toys
der Fußboden,the floor
babysitten,to babysit
auf jemanden aufpassen,to look after someone
dick,fat / thick
dünn,thin
"wahr, echt","""true, real"""
falsch,false / wrong
hübsch,pretty
gewöhnlich,ordinary
deprimiert,depressed
eigentlich,actually
plötzlich,suddenly
falls,if / in case
die Qualität,the quality
der Computer,the computer
überall,everywhere
nirgendwo,nowhere
gegenseitig,each other
beide,both
lassen,to let / to leave
zusenden,to send to
bevorzugen,to prefer
klopfen,to knock
müssen,to have to / must
reden,to talk
gestalten,to design / create
auftauchen,to appear
trotzdem,anyway / nevertheless
richtig,right / correct
der Garten,the garden
die U-Bahn,the subway / underground
die Nummer,the number
der Umzug,the move (of house)
die Anschrift,the address
der Vorname,the first name
der Nachname,the last name
der Pass,the passport
ausfüllen,to fill out
etwas kennen,to know something
mitten,in the middle of
die (Fernseh-)Programmzeitschrift,the TV guide
die Fernsehserie,the TV series
die Spielshow,the game show
die Sportnachrichten,the sports news
die Komödie,the comedy
der Actionfilm,the action movie
die Wiederholung,the rerun
die Schokolade,the chocolate
die Ecke,the corner
"der Verleih, der Filmverleih","""the rental, the video store"""
fernsehen,to watch TV
einschalten,to turn on
ausschalten,to turn off
regnerisch,rainy
stürmisch,stormy
retten,to save / to rescue
egal,it doesn't matter
im Moment,at the moment
der Sprachkurs,the language course
lernen,to learn
der Student,the student
die Unterrichtsstunde,the lesson
unterrichten,to teach
die Klasse,the class
das Semester,the semester
der Fehler,the mistake
die Erfahrung,the experience
ausgezeichnet,excellent
wichtig,important
hervorragend,excellent / outstanding
ordentlich,tidy / neat
erraten,to guess
planen,to plan
übersetzen,to translate
die Übersetzung,the translation
die Übersetzung,the translation
"der Übersetzer, der Dolmetscher","""the translator, the interpreter"""
"der Übersetzer, der Dolmetscher","""the translator, the interpreter"""
der Untertitel,the subtitle
sich verlieben,to fall in love
sich verloben,to get engaged
die Hochzeit,the wedding
das Paar,the couple
der Ehemann,the husband
der Junggeselle,the bachelor
die Ehefrau,the wife
die Familie,the family
der Vater,the father
der Sohn,the son
die Tochter,the daughter
die Schwester,the sister
die Tante,the aunt
"der Onkel (mütterlicherseits, väterlicherseits)","""the uncle (maternal, paternal)"""
der Cousin,the cousin
die Großeltern,the grandparents
die Enkelin,the granddaughter
der Enkel,the grandson
die Musik,the music
die Rockmusik,the rock music
das Lied,the song
die Melodie,the melody
die Instrumente,the instruments
die Gitarre,the guitar
die Geige,the violin
das Klavier,the piano
die Flöte,the flute
Weihnachten,Christmas
der Schnee,the snow
schneien,to snow
vermissen,to miss
träumen,to dream
stolz,proud
schließlich,finally
normalerweise,usually
laut,loud
der Wagen,the car / wagon
der Mietwagen,the rental car
die Autovermietung,the car rental
die Buchung,the booking
die Umbuchung,the rebooking
"die Lage (1. geolog., 2. Standort)","""the location, the position (1. geol., 2. site)"""
der Zeitraum,the period of time
jemandem danken,to thank someone
wünschen,to wish
hinfahren,to drive there
mieten,to rent
ein Auto mieten,to rent a car
reservieren,to reserve
stornieren,to cancel
die Buchung stornieren,to cancel the booking
sportlich,sporty
unsportlich,unsporty
geräumig,spacious
kompliziert,complicated
unkompliziert,uncomplicated
frei,free
besetzt,occupied
manchmal,sometimes
jemals,ever
soeben,just (now)
fast,almost
schon,already
sowieso,anyway
hinüber,over
hinterher,afterwards
sehr,very
ich möchte...,I would like...
ich möchte Kunst studieren,I would like to study art.
Glück haben,to be lucky
Viel Spaß!,Have fun!
das Haus,the house
die Wand,the wall
die Familie,the family
die Ausbildung,the education / training
das Studium,the studies
der Beruf,the profession / job
der Abwasch,the dishwashing
die Renovierung,the renovation
die Reparatur,the repair
das Handwerk,the craft / trade
das Werkzeug,the tool
der Werkzeugkasten,the toolbox
die Leitung,the pipe / line
der Handwerker,the craftsman
der Elektriker,the electrician
der Maler,the painter
sollen,should
zusammen sitzen,to sit together
abwaschen,to do the dishes
studieren,to study
restaurieren,to restore
reparieren,to repair
messen,to measure
renovieren,to renovate
streichen,to paint
etwas selber machen,to do something yourself
beruflich,professional
selbstgemacht,homemade
begabt,talented / gifted
unbegabt,untalented / ungifted
übrig,left over
alle,all / everyone
alles,everything
nichts,nothing
ein bisschen,a little bit
einzeln,single / individually
das Bauwerk,the structure / building
das Gebäude,the building
das Hochhaus,the high-rise building
die gute Lage,the good location
das Erdgeschoss,the ground floor
der Keller,the cellar / basement
der Innenhof,the inner courtyard
die Treppe,the stairs
die Terrasse,the terrace
das Dach,the roof
der Hausmeister,the janitor / caretaker
der Besuch,the visit
der Makler,the real estate agent
die Besichtigung,the viewing / visit
der Termin,the appointment
die Vorstadt,the suburb
der Kugelschreiber,the ballpoint pen
der Block,the notepad
der Vergleich,the comparison
die Bibliothek,the library
die Nähe,the vicinity / proximity
tropfen,to drip
klingeln,to ring
besichtigen,to visit / view
vereinbaren,to arrange
einen Termin vereinbaren,to make an appointment
vergleichen mit,to compare with
heizen,to heat
das Haus heizen,to heat the house
betreten,to enter
ein Haus betreten,to enter a house
erben,to inherit
ein Haus erben,to inherit a house
unterschreiben,to sign
übernehmen,to take over
eine Aufgabe übernehmen,to take on a task
vorgestern,the day before yesterday
übermorgen,the day after tomorrow
breit,wide
rund,round
knapp,scarce / tight
gegen,against
ideal,ideal
baufällig,dilapidated
insgesamt,in total / all together
das Formular,the form
der Vorname,the first name
der Nachname,the last name
die Adresse,the address
das Gehalt,the salary
das Konto,the account
das Konto belasten,to debit the account
der Kredit,the credit / loan
die Kreditkarte,the credit card
der Kreditrahmen,the credit limit
der Zins,the interest
die Schulden,the debt
die Höhe,the amount / height
der Vorteil,the advantage
der Nachteil,the disadvantage
die Sozialhilfe,the social welfare
die Sozialversicherung,the social security
die Haftpflichtversicherung,the liability insurance
die Genehmigung,the permission / permit
die Beschreibung,the description
jemanden belohnen,to reward someone
jemanden benachteiligen,to disadvantage someone
zugestehen,to grant / concede
beantragen,to apply for
senken,to lower
die Zinsen senken,to lower the interest rates
genehmigen,to approve / to authorize
einzahlen,to deposit
ausfüllen,to fill out
eintragen,to enter / fill in
angeben,to state / specify
seinen Namen angeben,to state one's name
"dazu führen, dass","""to lead to, to result in"""
verzichten auf,to do without / renounce
unverzichtbar,indispensable
kostenlos,free of charge
stolz sein,to be proud
treu sein,to be faithful
untreu sein,to be unfaithful
benachteiligt,disadvantaged
klimatisiert,air-conditioned
täglich,daily
wöchentlich,weekly
monatlich,monthly
jährlich,yearly
eigentlich,actually
der Umzug,the move
der Raum,the room
das Wohnzimmer,the living room
die Wand,the wall
die Kachel,the tile
die Tapete,the wallpaper
der Boden,the floor
der Staub,the dust
der Staubsauger,the vacuum cleaner
der Teppich,the carpet
die (Zimmer)Decke,the ceiling
die Lampe,the lamp
das Licht,the light
die Kerze,the candle
der Kerzenständer,the candlestick
das Kissen,the cushion / pillow
der Spiegel,the mirror
der Rahmen,the frame
der Balken,the beam
der Vorhang,the curtain
das Waschbecken,the sink
der Plan,the plan
der Entwurf,the draft / design
die Ausstattung,the equipment / furnishing
einziehen,to move in
einrichten,to furnish
schmücken,to decorate
etwas hinstellen,to place something
hängen,to hang
streichen,to paint
das Zimmer streichen,to paint the room
aufhängen,to hang up
anbringen,to attach
ausrollen,to roll out
restaurieren,to restore
etwas hinlegen,to put something down
planen,to plan
gut klingen,to sound good
saugen,to vacuum
verstopfen,to clog
bequem,comfortable
geschmackvoll,tasteful
romantisch,romantic
sinnvoll,sensible / meaningful
die Gebrauchsanweisung,the user manual
der Schrank,the cupboard / closet
das Regal,the shelf
das Bücherregal,the bookshelf
"der Aufbau, die Montage","""the assembly, the setup"""
das Chaos,the chaos
die Zumutung,the imposition / unreasonable demand
das Brett,the board
das Loch,the hole
die Oberfläche,the surface
der Kreis,the circle
der Durchmesser,the diameter
die Einteilung,the division / classification
die Basis,the base
die Aufgabe,the task
der Nagel,the nail
die Schraube,the screw
der Hammer,the hammer
die Säge,the saw
das Werkzeug,the tool
die Schachtel,the box
das Schild,the sign
der Schlag,the hit / blow
teilen,to share / divide
etwas ausbessern,to touch up something
abreißen,to tear off
Papier abreißen,to tear off paper
bauen,to build
verbinden,to connect
zwei Punkte verbinden,to connect two points
über etwas nachdenken,to think about something
kreisen,to circle
sammeln,to collect
aufheben,to pick up / keep
kleben,to glue
erleichtert sein,to be relieved
deutlich,clear
undeutlich,unclear
glatt,smooth
rauh,rough
praktisch,practical
unpraktisch,impractical
ordentlich,tidy
unordentlich,untidy
weit,wide
schmal,narrow
parallel,parallel
intensiv,intensive
offensichtlich,obvious
verständlich,understandable
unverständlich,incomprehensible
allmählich,gradually
andernfalls,otherwise
sich geschickt anstellen,to be skillful
die Reklamation,the complaint
die Beschwerde,the complaint
die E-Mail,the email
die Grammatik,the grammar
die Vokabel,the vocabulary
das Wort,the word
der Fernseher,the television
die Fernbedienung,the remote control
ein Paket erhalten,to receive a package
die Fabrik,the factory
der Hersteller,the manufacturer
die Lieferung,the delivery
der Lieferschein,the delivery note
der Knopf,the button
das Anliegen,the request / concern
der Verantwortliche,the person in charge
der Ausfall,the failure
die Absicht,the intention
die Scheiße,the shit
die Verschwendung,the waste
die Wette,the bet
die Frage,the question
die Antwort,the answer
der Zorn,the anger
ausschalten,to switch off
einschalten,to switch on
sich überlegen,to consider
sich beschweren,to complain
sich ausdrücken,to express oneself
sich rechtfertigen,to justify oneself
verabscheuen,to detest
reklamieren,to complain / make a complaint
antworten,to answer
verschwenden,to waste
jemanden stören,to disturb someone
prüfen,to check
wetten,to bet
berechtigt,justified
zornig,angry
wütend,furious
energisch,energetic
verantwortlich,responsible
vollständig,complete
siehe,see
siehe Seite,see page
"ist es möglich, dass ...","""is it possible that ..."""
"Sehr geehrte Damen und Herren, ...","""Dear Sir or Madam, ..."""
"Mit freundlichen Grüßen, ...","""Yours sincerely, ... / Best regards, ..."""
in diesem Fall,in this case
eine Ausnahme machen,to make an exception
die Vorbereitung,the preparation
der Nachtisch,the dessert
das Obst,the fruit
verdorbenes Obst,rotten fruit
der Obstsalat,the fruit salad
die Banane,the banana
die Bananenschale,the banana peel
der Pfirsich,the peach
die Aprikose,the apricot
die Traube,the grape
die Mandarine,the tangerine
die Ananas,the pineapple
die Konserve,the can / tin
der Dosenöffner,the can opener
der Korkenzieher,the corkscrew
die Anweisung,the instruction
die Verwendung,the use
die Flüssigkeit,the liquid
der Saft,the juice
das Kochbuch,the cookbook
das Inhaltsverzeichnis,the table of contents
das Doppelte,the double
der Tropfen,the drop
der Kochtopf,the cooking pot
der Rand,the edge / rim
der Schaum,the foam
das Experiment,the experiment
das Pfand,the deposit (for bottles/cans)
der Bäcker,the baker
das Gebäck,the pastry
die Tafel Schokolade,the bar of chocolate
der Geschmack,the taste / flavor
die Ernährung,the nutrition
die Verdauung,the digestion
die Lebensmittel,the food
der Schluckauf,the hiccups
der Haushalt,the household
das Besteck,the cutlery
verwenden,to use
aufbewahren,to store
öffnen,to open
schneiden,to cut
wiegen,to weigh
verdoppeln,to double
halbieren,to halve
kühlen,to cool / to chill
bestehen aus,to consist of
schmelzen,to melt
zudecken,to cover
braten,to fry
reiben,to grate
mischen,to mix
etwas auswendig lernen,to learn something by heart
schlucken,to swallow
sich verbrennen,to burn oneself
kühl,cool
lauwarm,lukewarm
weich,soft
hart,hard
essbar,edible
verschimmelt,moldy
fein,fine
frisch,fresh
mild,mild
scharf,spicy / hot
geschmackvoll,tasty / flavorful
fettig,greasy
paarweise,in pairs
den Tisch decken,to set the table
das Fußballstadion,the soccer stadium
das Spiel,the game
der Spieler,the player
die Regeln,the rules
die Partie,the match
die Herausforderung,the challenge
die Mannschaft,the team
der Zuschauer,the spectator
die Mehrheit,the majority
der Start,the start
der Misserfolg,the failure
der Erfolg,the success
der Haupteingang,the main entrance
die Reihe,the row
das Ticket,the ticket
das Tor,the goal
die Fahne,the flag
der Athlet,the athlete
die Kraft,the strength / power
der Schweiß,the sweat
die Leichtathletik,the track and field
das Ruder,the oar
konkurrieren,to compete
sich anstrengen,to make an effort
schwitzen,to sweat
werfen,to throw
einfach,easy
trainieren,to train
absteigen,to be relegated (in sports)
siegen,to win
massieren,to massage
verhindern,to prevent
unterbrechen,to interrupt
pfeifen,to whistle
brüllen,to shout / roar
sich anstellen,to line up / queue
sich wundern über,to wonder about
stattfinden,to take place
doppelt,double
anstrengend,strenuous
extrem,extreme
kräftig,strong
häufig,frequently
der Berg,the mountain
der Berggipfel,the mountain peak
das Tal,the valley
der Entschluss,the decision
die Hütte,the hut
das Toilettenpapier,the toilet paper
die Ruine,the ruin
der Eintritt,the entrance fee
die Entfernung,the distance
das Fahrrad,the bicycle
der Radweg,the bike path
der Gummi,the rubber
die Touristeninformation,the tourist information
die Freizeit,the free time
die Umgebung,the surroundings / area
das Ausflugsziel,the destination
die Begeisterung,the enthusiasm
das Abenteuer,the adventure
das Süßwasser,the fresh water
der Anker,the anchor
die Schnur,the string / cord
der Schwamm,the sponge
das Datum,the date
der Frühling,the spring
der Sommer,the summer
der Herbst,the autumn / fall
der Winter,the winter
schätzen,to estimate
die Entfernung schätzen,to estimate the distance
etwas unternehmen,to do something / to undertake something
streichen,"to spread (butter, etc.)"
das Brot streichen,to spread bread
füllen,to fill
versorgen,to supply
etwas verteilen,to distribute something
jemanden beunruhigen,to worry someone
seekrank sein,to be seasick
versinken,to sink
spannend,exciting
freiwillig,voluntary
verfügbar,available
tagsüber,during the day
in der Nähe von,near to
der Regenmantel,the raincoat
die Mütze,the cap
der Handschuh,the glove
der Schnürsenkel,the shoelace
die Gegend,the area
die Hauptstraße,the main road
die Landstraße,the country road
das Gelände,the terrain
die Ebene in der Landschaft,the plain (in a landscape)
der Hügel,the hill
der Umweg,the detour
der Fluss,the river
das Ufer,the bank / shore
das Boot,the boat
die Brücke,the bridge
die Pause,the break / pause
der Fußgänger,the pedestrian
das Versprechen,the promise
der Dreck,the dirt / mud
abreisen,to depart
jemandem etwas versprechen,to promise someone something
baden,to bathe
ertrinken,to drown
sich entspannen,to relax
überqueren,to cross
den Fluss überqueren,to cross the river
flach,flat
steil,steep
entspannend,relaxing
eilig,in a hurry / urgent
ehrgeizig,ambitious
dreckig,dirty
auf etwas gefasst sein,to be prepared for something
die Radtour,the bike tour
die Bremse,the brake
die Geschwindigkeit,the speed
der Rastplatz,the rest stop
der Horizont,the horizon
die Sicht,the view
die Abkürzung,the shortcut
die Düne,the dune
die Ebbe,the low tide
die Flut,the high tide
das Gebirge,the mountain range
die Schlucht,the gorge
die Ernte,the harvest
der Bauer,the farmer (male)
der Bauernhof,the farm
der Hahn kräht,the rooster crows
die Katze miaut,the cat meows
der Vogel zwitschert,the bird chirps
der Hund bellt,the dog barks
die Ente quakt,the duck quacks
die Kuh muht,the cow moos
das Schwein grunzt,the pig grunts
das Pferd wiehert,the horse neighs
der Frosch quakt,the frog croaks
das Schaf blökt,the sheep bleats
die Biene summt,the bee buzzes
der Stier,the bull
der Esel,the donkey
der Teich,the pond
das Handtuch,the towel
das Stativ,the tripod
bremsen,to brake
schieben,to push
rutschen,to slide
sich nähern,to approach
sich erschrecken,to be startled
sich verirren,to get lost
durchqueren,to cross / traverse
empfinden,to feel / perceive
spiegeln,to reflect
vergrößern,to enlarge
verkleinern,to reduce
klettern,to climb
graben,to dig
kurzsichtig,short-sighted
weitsichtig,long-sighted
unsichtbar,invisible
feucht,damp / moist
vorwärts,forwards
rückwärts,backwards
hoch,high
tief,deep
das Ungeziefer,the vermin
das Insekt,the insect
die Fliege,the fly
der Moskito,the mosquito
die Wespe,the wasp
die Blüte,the blossom
das Gesicht,the face
der Biss,the bite
das Gift,the poison / venom
die Erste Hilfe,the first aid
die Behandlung,the treatment
die Pflege,the care
die Rettung,the rescue
der Notruf,the emergency call
die Arztpraxis,the doctor's practice
der Augenarzt,the ophthalmologist / eye doctor
der Schnupfen,the cold / runny nose
der Bauer,the farmer
die Bäuerin,the farmer (female)
springen,to jump
blühen,to bloom / blossom
fliegen,to fly
beißen,to bite
stechen,to sting
allergisch reagieren,to have an allergic reaction
anschwellen,to swell
ausspucken,to spit out
sich übergeben,to vomit
"verbrennen, sich verbrennen","""to burn, to burn oneself"""
jemanden pflegen,to care for someone
sich beeilen,to hurry
jammern,to whine / moan
sich erkälten,to catch a cold
ängstlich,fearful / anxious
mutig,brave / courageous
wild,wild
harmlos,harmless
bewusstlos,unconscious
ausnahmsweise,exceptionally
empfehlenswert,recommendable
in der Zwischenzeit,in the meantime
der Himmel,the sky / heaven
die Erde,the earth
der Stern,the star
der Mond,the moon
die Stille,the silence
die Zahnpasta,the toothpaste
die Matratze,the mattress
die Bettdecke,the duvet / comforter
der Schlaf,the sleep
die Luftmatratze,the air mattress
der Besen,the broom
der Flaschenöffner,the bottle opener
die Pfeife,the pipe
die Asche,the ash
das Fass,the barrel
der Schreck,the shock
die Laterne,the lantern
einschlafen,to fall asleep
übernachten,to stay overnight
schnarchen,to snore
sich ausbreiten,to spread
sich lustig machen über,to make fun of
frieren,to freeze
wach,awake
morgens,in the morning
abends,in the evening
das Dorf,the village
das Notizbuch,the notebook
die Rechtschreibung,the spelling
das Zitat,the quote
die Spalte,the column
die Zeile,the line
der Schluss,the end / conclusion
die Schultafel,the blackboard
die Rückseite,the back (side)
die Vorderseite,the front (side)
die Jahreszeit,the season
das Klima,the climate
der Ozean,the ocean
der Liegestuhl,the deck chair
der Sand,the sand
die Oase,the oasis
der Sumpf,the swamp
die Gewohnheit,the habit
sich gewöhnen an,to get used to
das Beet,the (flower) bed
sich freuen,to be happy / pleased
übertreiben,to exaggerate
verbreiten,to spread
ein Gerücht verbreiten,to spread a rumor
skifahren,to ski
fehlerfrei,flawless
unverständlich,incomprehensible
unausweichlich,inevitable
ungefähr,approximately / about
geographisch,geographical
danach,afterwards
"Herzliche Grüße, ...","""Best regards, ..."""
der Norden,the north
der Süden,the south
der Westen,the west
der Osten,the east
der Wohnwagen,the caravan / trailer
die Unterkuft,the accommodation
das Gepäcknetz,the luggage rack
der Waggon,the carriage / wagon
der Schlafwagen,the sleeping car
der Aufenthalt,the stay
die Grenze,the border
die Heimat,the home country
der Gast,the guest
der Akzent,the accent
die Welt,the world
das Volk,the people
der Einwohner,the inhabitant
die Hauptstadt,the capital city
die Küste,the coast
der Hafen,the port
die Halbinsel,the peninsula
das Schwimmbad,the swimming pool
das Badetuch,the beach towel
der Reiz,the charm / appeal
die Kurve,the curve
verpassen,to miss
den Zug verpassen,to miss the train
aufbrechen nach,to set off for
städtisch,urban
begrenzen,to limit
neugierig,curious
das Bild,the picture
das Bildmotiv,the motif / subject of a picture
die Zeichnung,the drawing
die Abbildung,the illustration
der Vordergrund,the foreground
der Hintergrund,the background
das Detail,the detail
die Form,the shape
die Größe,the size
das Format,the format
der Künstler,the artist
das Vorbild,the role model
die Ausstellung,the exhibition
das Archiv,the archive
die Spiegelreflexkamera,the SLR camera
der Blick,the view / glance
die Natur,the nature
die Wiese,the meadow
die Schönheit,the beauty
malen,to paint
zeichnen,to draw
abbilden,to depict
studieren,to study
nachahmen,to imitate
achten auf,to pay attention to
knicken,to fold / crease
gelingen,to succeed
andeuten,to hint / suggest
jemanden faszinieren,to fascinate someone
einzigartig,unique
schön,beautiful
mangelhaft,deficient / poor
fröhlich,cheerful
umzäunt,fenced
ähnlich,similar
das Ferngespräch,the long-distance call
die Auskunft,the information / inquiry
der Bericht,the report
das Theaterstück,the play (theater)
die Oper,the opera
der Beginn,the beginning
der Sitzplatz,the seat
die Stelle,the place / spot
der Dichter,the poet
die Stimme,the voice
der Termin,the appointment
der Kollege,the colleague (male)
die Kollegin,the colleague (female)
jemanden erreichen,to reach someone
bejahen,to affirm / to say yes
verneinen,to deny / to say no
bedauern,to regret
stöhnen,to groan
verstehen,to understand
veranstalten,to organize / to host
abonnieren,to subscribe
auf etwas hinweisen,to point something out
empfehlen,to recommend
pünktlich,punctual
zu spät,too late
früher,earlier
leider,unfortunately
einschließlich,including
beeindruckend,impressive
"solcher, solche, solches","""such"""
nebeneinander,side by side
vermutlich,presumably
außerdem,besides
jedes Mal,every time
Gern geschehen.,You're welcome.
ganz und gar nicht,not at all
das Gerät,the device / appliance
die Taste,the key / button
das Signal,the signal
der Anbieter (eines Mobilfunknetzes),the provider (of a mobile network)
der Vertrag,the contract
die Beratung,the consultation / advice
das Mobilfunknetz,the mobile network
die Prepaidkarte,the prepaid card
der Verwandte,the relative
das Paket,the package
der Zweck,the purpose
das Zeichen,the sign
die Anweisung,the instruction
die Tatsache,the fact
die Kleinigkeit,the trifle / small matter
die Qualität,the quality
die Auszeichnung,the award
das Potential,the potential
der Kompass,the compass
der Pfosten,the post
der Neid,the envy
erfüllen,to fulfill
die Anforderungen erfüllen,to meet the requirements
zustimmen,to agree
ersetzen,to replace
verstärken,to strengthen
herstellen,to produce / manufacture
jemanden beraten,to advise someone
verzichten,to do without
drücken,to press
etwas in der Hand halten,to hold something in your hand
gehören,to belong
gültig,valid
ungültig,invalid
höflich,polite
unhöflich,impolite / rude
unmöglich,impossible
abscheulich,hideous / abominable
defekt,defective
komplett,complete
ausgezeichnet,excellent
präzise,precise
selbstverständlich,of course / obviously
die Meinung,the opinion
die Meinungsverschiedenheit,the disagreement
der Streit,the argument / dispute
die Laune,the mood
der Wille,the will
der Wunsch,the wish
die Abhängigkeit,the dependence
die Unabhängigkeit,the independence
die Veränderung,the change
die Angewohnheit,the habit
der Betrug,the deceit / fraud
die Geliebte,the lover (female)
das Geständnis,the confession
das Gewissen,the conscience
die Wut,the anger
die Eifersucht,the jealousy
der Hass,the hatred
die Ohrfeige,the slap
die Scheidung,the divorce
der Frieden,the peace
der Sessel,the armchair
sich verhalten,to behave
sich einmischen,to interfere
vermeiden,to avoid
verlangen,to demand
sich aufregen über,to get upset about
sich beruhigen,to calm down
sich ändern,to change
scheitern,to fail
betrügen,to cheat / deceive
drohen,to threaten
verachten,to despise
verzweifeln an,to despair of
gestehen,to confess
sich scheiden lassen,to get a divorce
sich versöhnen,to reconcile
verzeihen,to forgive
respektieren,to respect
egoistisch,egoistic / selfish
kompliziert,complicated
eifersüchtig,jealous
böse,angry
gleichgültig,indifferent
abhängig,dependent
unabhängig,independent
erschöpft,exhausted
die Träne,the tear
die Sorgen,the worries
das Geschlecht,the gender / sex
der Unterschied,the difference
das Gefühl,the feeling
die Hoffnung,the hope
das Verhalten,the behavior
der Schmerz,the pain
der Kummer,the sorrow
die Seele,the soul
die Rache,the revenge
die Schande,the shame
die Feigheit,the cowardice
die Enttäuschung,the disappointment
der Verlust,the loss
der Zusammenbruch,the breakdown
der Selbstmord,the suicide
das Mitleid,the pity
die Dankbarkeit,the gratitude
sich entschuldigen,to apologize
ausnutzen,to take advantage of
zerreißen,to tear apart
zweifeln,to doubt
sich rächen,to take revenge
betteln,to beg
trösten,to console
einsam,lonely
alleine,alone
empfindlich,sensitive
deprimiert,depressed
unglücklich,unhappy
enttäuscht,disappointed
unruhig,restless / uneasy
unerträglich,unbearable
heikel,delicate
seelisch,mental / psychological
jemandem einen Ratschlag erteilen,to give someone advice
Rücksicht nehmen,to be considerate
an Liebeskummer leiden,to suffer from a broken heart
jemandem Vorwürfe machen,to reproach someone
die Gewalt,the violence
die Beleidigung,the insult
das Verbot,the prohibition
der Überfall,the attack / robbery
die Erpressung,the blackmail
der Kriminalfall,the criminal case
der Zwischenfall,the incident
der Fluchtweg,the escape route
der Hinweis,the hint / clue
der Mut,the courage
die Kontrolle,the control
der Verfolger,the pursuer
die Belohnung,the reward
der Schutz,the protection
beschützen,to protect
sich schützen vor,to protect oneself from
überwachen,to monitor / watch
auffordern,to demand / request
dulden,to tolerate
jemanden beleidigen,to insult someone
sich verletzen,to hurt oneself
jemanden verletzen,to hurt someone
bluten,to bleed
zu etwas fähig sein,to be capable of something
belästigen,to bother / harass
sich wehren,to defend oneself
vergelten,to retaliate
verfolgen,to pursue / persecute
fliehen,to flee
jemanden festhalten,to hold someone
sich festhalten an,to hold on to
angenehm,pleasant
unangenehm,unpleasant
brutal,brutal
hinterhältig,insidious / malicious
boshaft,malicious
blass,pale
tolerant,tolerant
heimlich,secretly
ausdrücklich,expressly
die Verurteilung,the conviction / sentence
das Gesetz,the law
der Richter,the judge
der Prozess,the trial
der Beweis,the proof / evidence
die Bedingung,the condition
die Schuld,the guilt
das Recht,the right
der Angeklagte,the defendant
der Zeuge,the witness
der Anwalt,the lawyer
die Strafe,the punishment
die Haftstrafe,the prison sentence
die Gefängniszelle,the prison cell
die Aussicht,the prospect / view
die Angst,the fear
die Therapie,the therapy
das Vorurteil,the prejudice
der Typ,the type
die Schlägerei,the fight / brawl
anklagen,to accuse
beweisen,to prove
aussagen gegen,to testify against
plädieren für,to plead for
verdächtigen,to suspect
leugnen,to deny
verurteilen,to sentence
jemanden einsperren,to lock someone up
beeindrucken,to impress
schuldig,guilty
unschuldig,innocent
gerecht,just / fair
ungerecht,unjust / unfair
vorbestraft,with a criminal record
offiziell,official
absolut,absolute
konkret,concrete
direkt,direct
jemandem den Prozess machen,to put someone on trial
den Angeklagten belasten,to incriminate the defendant
die vorbeugende Maßnahme,the preventive measure
die Bushaltestelle,the bus stop
der Verbrecher,the criminal
der Dieb,the thief
der Diebstahl,the theft
der Einbrecher,the burglar
der Kriminelle,the criminal
die Wertsachen,the valuables
der Laptop,the laptop
die Beute,the loot
die Kasse,the cash register
der Verschluss,the lock
der Wachmann,the security guard
der Angriff,the attack
die Gefahr,the danger
die Waffe,the weapon
der Schuss,the shot
der Kampf,the fight
das Schimpfwort,the curse word / swear word
Arschloch!,Asshole!
die Anzeige,the (police) report
die Versicherung,the insurance
jemanden bei der Polizei anzeigen,to report someone to the police
verschließen,to lock
umstellen,to surround
ein Gebäude umstellen,to surround a building
jemanden verhaften,to arrest someone
jemanden überraschen,to surprise someone
schlagen,to hit / beat
jemanden töten,to kill someone
ermorden,to murder
jemanden ausbeuten,to exploit someone
etwas aufbrechen,to break something open
zerbrechen,to break / shatter
erbeuten,to capture (loot)
stehlen,to steal
etwas einstecken,to pocket something
jemandem etwas schulden,to owe someone something
holen,to get / fetch
vermuten,to assume / suspect
flüchten,to flee
verstecken,to hide
systematisch,systematic
wertvoll,valuable
giftig,poisonous
gefährlich,dangerous
kriminell,criminal
der Zoo,the zoo
der Stall,the stable
das Gehege,the enclosure
der Käfig,the cage
das Tier,the animal
die Tierart,the animal species
der Tierarzt,the vet
der Affe,the monkey
die Giraffe,the giraffe
der Hase,the rabbit
die Ente,the duck
die Heuschrecke,the locust
der Krebs,the crab / crayfish
die Krabbe,the crab
die Feder,the feather
der Adler,the eagle
die Taube (Vogel),the pigeon
das Fell,the fur
der Jäger,the hunter
der Gärtner,the gardener
das Unkraut,the weed
die Blume,the flower
die Pflanze,the plant
die Rose,the rose
die Nelke,the carnation
der Kaktus,the cactus
der Stamm,the trunk (of a tree)
die Rinde,the bark
das Holz,the wood
die Wurzeln,the roots
der Obstanbau,the fruit growing
die Leine,the leash
die Angel,the fishing rod
der Grund,the reason / ground
füttern,to feed
gehorchen,to obey
streicheln,to pet / stroke
anpflanzen,to plant
pflücken,to pick
fließen,to flow
tauchen,to dive
angeln,to fish / to go fishing
vernachlässigen,to neglect
schlachten,to slaughter
faul,lazy
fleißig,hard-working
sauber,clean
zahm,tame
sturköpfig,stubborn
das Wartezimmer,the waiting room
der Körper,the body
das Organ,the organ
